Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Cuetos, Fernando; Arango-Lasprilla, Juan Carlos; Uribe, ClaramONika; Valencia, Claudia; Lopera, Francisco; Alberca, R; Salas, D; Perez-Gil, JA; Lozano, P; Gil-Neciga, E; ",Linguistic changes in verbal expression: a preclinical marker of Alzheimer's disease,Journal of the International Neuropsychological Society,13,3,433-439,2007,Cambridge Univ Press
"Escobar, Rodrigo; Rios, Alejandro; Montoya, Ivan D; Lopera, Francisco; Ramos, Daele; Carvajal, Carlos; Constain, Gustavo; Gutierrez, Juan E; Vargas, Sergio; Herrera, Claudia P; ",Clinical and cerebral blood flow changes in catatonic patients treated with ECT,Journal of psychosomatic research,49,6,423-429,2000,Elsevier
"Lopera, Francisco; Palacio, Luis Guillermo; Jiménez, Ivan; Villegas, Patricia; Puerta, Isabel Cristina; Pineda, David; Jiménez, Marta; Arcos-Burgos, Mauricio; ",Discriminación de factores genéticos en el déficit de atención (DDA),Rev Neurol,28,660,4,1999,
"Sepulveda‐Falla, Diego; Matschke, Jakob; Bernreuther, Christian; Hagel, Christian; Puig, Berta; Villegas, Andres; Garcia, Gloria; Zea, Julian; Gomez‐Mancilla, Baltazar; Ferrer, Isidre; ",Deposition of hyperphosphorylated tau in cerebellum of PS1 E280A Alzheimer's disease,Brain Pathology,21,4,452-463,2011,Wiley Online Library
"Bobes, María A; García, Yuriem Fernández; Lopera, Francisco; Quiroz, Yakeel T; Galán, Lídice; Vega, Mayrim; Trujillo, Nelson; Valdes‐Sosa, Mitchell; Valdes‐Sosa, Pedro; ",ERP generator anomalies in presymptomatic carriers of the Alzheimer's disease E280A PS‐1 mutation,Human brain mapping,31,2,247-265,2010,Wiley Online Library
"Garcia-Ospina, GP; Jimenez-Del Rio, M; Lopera, F; Velez-Pardo, C; ","[Neuronal DNA damage correlates with a positive detection of c-Jun, nuclear factor kB, p53 and Par-4 transcription factors in Alzheimer's disease].",Revista de neurologia,36,11,1004-1010,2002,
"Jimenez Del Rio, Marlene; Moreno, Sonia; Garcia‐Ospina, Gloria; Buritica, Omar; Uribe, Carlos S; Lopera, Francisco; Velez‐Pardo, Carlos; ",Autosomal recessive juvenile parkinsonism Cys212Tyr mutation in parkin renders lymphocytes susceptible to dopamine‐and iron‐mediated apoptosis,Movement disorders,19,3,324-330,2004,Wiley Online Library
"Arango-Lasprilla, Juan Carlos; Cuetos, Fernando; Valencia, Claudia; Uribe, Claramonika; Lopera, Francisco; ",Cognitive changes in the preclinical phase of familial Alzheimer's disease,Journal of clinical and experimental neuropsychology,29,8,892-900,2007,Taylor & Francis
"Lopera, Francisco; Arcos, Mauricio; Madrigal, Lucía; Kosik, Kenneth; Cornejo, William; Ossa, Jorge; ","Demencia tipo Alzheimer con agregación familiar enAntioquia, Colombia",Acta Neurol Colomb,10,4,,1994,
"Pineda, DA; Lopera, F; Henao, GC; Palacio, JD; Castellanos, FX; ",[Confirmation of the high prevalence of attention deficit disorder in a Colombian community].,Revista de neurologia,32,3,217-222,2000,
"Arango-Lasprilla, Juan Carlos; Rogers, Heather; Lengenfelder, Jean; DeLuca, John; Moreno, Sonia; Lopera, Francisco; ",Cortical and subcortical diseases: Do true neuropsychological differences exist?,Archives of clinical neuropsychology,21,1,29-40,2006,Elsevier
"Aguirre-Acevedo, DC; Gómez, R; Moreno, S; Henao-Arboleda, E; Motta, M; Muñoz, C; Arana, A; Pineda, DA; Lopera, F; ",Validez y fiabilidad de la batería neuropsicológica CERAD-Col,Rev Neurol,46,,655-660,2007,
"Velez-Pardo, Carlos; Del Rio, Marlene Jimenez; Lopera, Francisco; ","Familial Alzheimer’s Disease: Oxidative Stress, β-amyloid, Presenilins, and Cell Death",General Pharmacology: The Vascular System,31,5,675-681,1998,Elsevier
"Van Vickle, Gregory D; Esh, Chera L; Kokjohn, Tyler A; Patton, R Lyle; Kalback, Walter M; Luehrs, Dean C; Beach, Thomas G; Newel, Amanda J; Lopera, Francisco; Ghetti, Bernardino; ",Presenilin-1 280Glu→ Ala Mutation Alters C-Terminal APP Processing Yielding Longer A beta Peptides: Implications for Alzheimer's Disease,MOLECULAR MEDICINE-CAMBRIDGE MA THEN NEW YORK-,14,3/4,184,2008,"BLACKWELL SCIENCE, INC."
"Pineda, DA; Puerta, IC; Merchán, V; Arango, CP; Galvis, AY; Velásquez, B; Gómez, M; Builes, A; Zapata, M; Montoya, P; ",Factores perinatales asociados con la apariciÓn del trastorno por deficiencia de atenciÓn en niños de la comunidad colombiana'paisa',Revista de neurología,36,7,609-613,2003,Viguera
"Henao-Arboleda, E; Aguirre-Acevedo, DC; Muñoz, C; Pineda, Daniel A; Lopera, F; ",Prevalencia de deterioro cognitivo leve de tipo amnésico en una población colombiana,Rev neurol,46,12,709-13,2008,
